V Num	DTest Time	
88700.000000	393.910935	
88800.000000	394.349637	
88900.000000	394.788086	
89000.000000	395.226378	
89100.000000	395.665011	
89200.000000	396.103341	
89300.000000	396.541612	
89400.000000	396.980194	
89500.000000	397.418922	
89600.000000	397.857508	
89700.000000	398.296326	
89800.000000	398.734921	
89900.000000	399.173557	
90000.000000	399.612281	
